year,city,avg_temp
1843,Mecca,25.16
1844,Mecca,19.05
1845,Mecca,22.46
1846,Mecca,
1847,Mecca,
1848,Mecca,
1849,Mecca,
1850,Mecca,
1851,Mecca,
1852,Mecca,
1853,Mecca,
1854,Mecca,
1855,Mecca,
1856,Mecca,
1857,Mecca,
1858,Mecca,
1859,Mecca,
1860,Mecca,
1861,Mecca,23.98
1862,Mecca,24.13
1863,Mecca,22.87
1864,Mecca,25.43
1865,Mecca,25.60
1866,Mecca,25.42
1867,Mecca,25.62
1868,Mecca,25.30
1869,Mecca,25.65
1870,Mecca,25.35
1871,Mecca,24.97
1872,Mecca,25.20
1873,Mecca,25.57
1874,Mecca,25.32
1875,Mecca,24.53
1876,Mecca,25.13
1877,Mecca,25.81
1878,Mecca,25.94
1879,Mecca,25.57
1880,Mecca,25.42
1881,Mecca,26.06
1882,Mecca,25.09
1883,Mecca,25.36
1884,Mecca,25.03
1885,Mecca,25.33
1886,Mecca,25.13
1887,Mecca,25.08
1888,Mecca,25.21
1889,Mecca,25.88
1890,Mecca,25.79
1891,Mecca,25.88
1892,Mecca,25.39
1893,Mecca,25.42
1894,Mecca,25.00
1895,Mecca,24.96
1896,Mecca,25.24
1897,Mecca,25.27
1898,Mecca,25.59
1899,Mecca,25.57
1900,Mecca,25.50
1901,Mecca,25.79
1902,Mecca,25.42
1903,Mecca,25.03
1904,Mecca,25.40
1905,Mecca,25.12
1906,Mecca,25.26
1907,Mecca,24.98
1908,Mecca,25.23
1909,Mecca,25.95
1910,Mecca,25.18
1911,Mecca,24.85
1912,Mecca,25.05
1913,Mecca,24.75
1914,Mecca,25.38
1915,Mecca,25.88
1916,Mecca,25.36
1917,Mecca,25.27
1918,Mecca,25.25
1919,Mecca,26.01
1920,Mecca,25.17
1921,Mecca,25.17
1922,Mecca,25.66
1923,Mecca,25.51
1924,Mecca,25.96
1925,Mecca,25.51
1926,Mecca,25.53
1927,Mecca,25.82
1928,Mecca,26.05
1929,Mecca,25.92
1930,Mecca,25.76
1931,Mecca,25.90
1932,Mecca,25.45
1933,Mecca,25.21
1934,Mecca,25.53
1935,Mecca,25.90
1936,Mecca,25.75
1937,Mecca,25.61
1938,Mecca,25.31
1939,Mecca,25.72
1940,Mecca,25.92
1941,Mecca,26.00
1942,Mecca,26.07
1943,Mecca,25.21
1944,Mecca,25.85
1945,Mecca,25.69
1946,Mecca,25.65
1947,Mecca,26.13
1948,Mecca,25.11
1949,Mecca,25.11
1950,Mecca,25.89
1951,Mecca,25.96
1952,Mecca,26.31
1953,Mecca,26.15
1954,Mecca,26.16
1955,Mecca,25.65
1956,Mecca,25.66
1957,Mecca,25.51
1958,Mecca,26.29
1959,Mecca,25.26
1960,Mecca,26.33
1961,Mecca,25.87
1962,Mecca,26.11
1963,Mecca,26.10
1964,Mecca,25.44
1965,Mecca,25.76
1966,Mecca,26.19
1967,Mecca,25.33
1968,Mecca,25.26
1969,Mecca,26.09
1970,Mecca,25.92
1971,Mecca,24.96
1972,Mecca,25.53
1973,Mecca,25.98
1974,Mecca,25.47
1975,Mecca,25.34
1976,Mecca,25.56
1977,Mecca,26.11
1978,Mecca,26.12
1979,Mecca,26.55
1980,Mecca,26.32
1981,Mecca,26.19
1982,Mecca,25.04
1983,Mecca,25.40
1984,Mecca,25.19
1985,Mecca,25.36
1986,Mecca,25.64
1987,Mecca,26.35
1988,Mecca,26.34
1989,Mecca,25.47
1990,Mecca,25.86
1991,Mecca,25.94
1992,Mecca,24.74
1993,Mecca,25.90
1994,Mecca,26.26
1995,Mecca,26.33
1996,Mecca,26.37
1997,Mecca,25.88
1998,Mecca,26.48
1999,Mecca,26.75
2000,Mecca,26.62
2001,Mecca,26.60
2002,Mecca,26.63
2003,Mecca,26.87
2004,Mecca,26.53
2005,Mecca,26.47
2006,Mecca,26.42
2007,Mecca,26.58
2008,Mecca,26.64
2009,Mecca,26.90
2010,Mecca,27.30
2011,Mecca,26.57
2012,Mecca,27.02
2013,Mecca,27.57
